0
1,71.4286,31.746,51.0204,22.6757,36.4431,16.197,26.0308,11.5693,18.5934,19.3749,1
2,80.4989,48.3749,63.978,37.433,50.3263,28.7946,39.2528,28.2095,33.5734,26.0326,0.589881
3,85.25,58.685,71.588,47.8139,59.3613,42.0547,50.4608,36.8896,43.4813,30.4361,0.315307
4,88.1957,65.7614,76.658,57.434,66.7714,50.1704,58.2337,42.7906,50.2916,33.4629,0.167499
5,90.2175,72.0045,80.8508,63.8061,72.085,55.8103,63.7152,46.9084,55.0717,35.5874,0.101056
6,92.0013,76.3373,83.9455,68.3149,75.9069,59.7966,67.6216,49.8248,58.469,37.0973,0.0666637
7,93.2392,79.3924,86.118,71.495,78.5976,62.6127,70.3768,51.8882,60.8684,38.1637,0.0449769
8,94.1121,81.547,87.6501,73.7404,80.4965,64.603,72.3227,53.3455,62.563,38.9169,0.0308082
9,94.7277,83.0681,88.7314,75.3267,81.8375,66.0086,73.697,54.3747,63.7598,39.4488,0.0212944
10,95.1623,84.1425,89.495,76.447,82.7846,67.0013,74.6675,55.1016,64.605,39.8244,0.0148161
11,95.4693,84.9014,90.0344,77.2382,83.4535,67.7024,75.3529,55.6149,65.2019,40.0898,0.0103554
12,95.6861,85.4373,90.4153,77.797,83.9259,68.1976,75.837,55.9774,65.6235,40.2771,0.0072604
13,95.8392,85.8158,90.6843,78.1917,84.2595,68.5473,76.1789,56.2335,65.9213,40.4095,0.0051015
14,95.9474,86.0831,90.8743,78.4704,84.4952,68.7942,76.4204,56.4143,66.1315,40.5029,0.00358999
15,96.0237,86.2719,91.0085,78.6672,84.6616,68.9686,76.5909,56.542,66.2801,40.5689,0.00252902
